frame,point_index,r,g,b
9,4,0,0,0
9,5,0,0,0
9,6,0,0,0
9,7,0,0,0
9,8,0,0,0
9,9,0,0,0
9,10,0,0,0
9,11,0,0,0
9,12,0,0,0
10,0,0,0,0
10,1,0,0,0
10,2,0,0,0
10,3,0,0,0
10,4,0,0,0
10,5,0,0,0
10,6,0,0,0
10,7,0,0,0
10,8,0,0,0
10,9,0,0,0
10,10,0,0,0
10,11,0,0,0
10,12,0,0,0
11,0,0,0,0
11,1,0,0,0
11,2,0,0,0
11,3,0,0,0
11,4,0,0,0
11,5,0,0,0
11,6,0,0,0
11,7,0,0,0
11,8,0,0,0
11,9,0,0,0
11,10,0,0,0
11,11,0,0,0
11,12,0,0,0
12,0,0,0,0
12,1,0,0,0
12,2,0,0,0
12,3,0,0,0
12,4,0,0,0
12,5,0,0,0
12,6,0,0,0
12,7,0,0,0
12,8,0,0,0
12,9,0,0,0
12,10,0,0,0
12,11,0,0,0
12,12,0,0,0
13,0,0,0,0
13,1,0,0,0
13,2,0,0,0
13,3,0,0,0
13,4,0,0,0
13,5,0,0,0
13,6,0,0,0
13,7,0,0,0
13,8,0,0,0
13,9,0,0,0
13,10,0,0,0
13,11,0,0,0
13,12,0,0,0
14,0,0,0,0
14,1,0,0,0
14,2,0,0,0
14,3,0,0,0
14,4,0,0,0
14,5,0,0,0
14,6,0,0,0
14,7,0,0,0
14,8,0,0,0
14,9,0,0,0
14,10,0,0,0
14,11,0,0,0
14,12,0,0,0
15,0,0,0,0
15,1,0,0,0
15,2,0,0,0
15,3,0,0,0
15,4,0,0,0
15,5,0,0,0
15,6,0,0,0
15,7,0,0,0
15,8,0,0,0
15,9,0,0,0
15,10,0,0,0
15,11,0,0,0
15,12,0,0,0
16,0,0,0,0
16,1,0,0,0
16,2,0,0,0
16,3,0,0,0
16,4,0,0,0
16,5,0,0,0
16,6,0,0,0
16,7,0,0,0
16,8,0,0,0
16,9,0,0,0
16,10,0,0,0
16,11,0,0,0
16,12,0,0,0
17,0,0,0,0
17,1,0,0,0
17,2,0,0,0
17,3,0,0,0
17,4,0,0,0
17,5,0,0,0
17,6,0,0,0
17,7,0,0,0
17,8,0,0,0
17,9,0,0,0
17,10,0,0,0
17,11,0,0,0
17,12,0,0,0
18,0,0,0,0
18,1,0,0,0
18,2,0,0,0
18,3,0,0,0
18,4,0,0,0
18,5,0,0,0
18,6,0,0,0
18,7,0,0,0
18,8,0,0,0
18,9,0,0,0
18,10,0,0,0
18,11,0,0,0
18,12,0,0,0
19,0,0,0,0
19,1,0,0,0
19,2,0,0,0
19,3,0,0,0
19,4,0,0,0
19,5,0,0,0
19,6,0,0,0
19,7,0,0,0
19,8,0,0,0
19,9,0,0,0
19,10,0,0,0
19,11,0,0,0
19,12,0,0,0
20,0,0,0,0
20,1,0,0,0
20,2,0,0,0
20,3,0,0,0
20,4,0,0,0
20,5,0,0,0
20,6,0,0,0
20,7,0,0,0
20,8,0,0,0
20,9,0,0,0
20,10,0,0,0
20,11,0,0,0
20,12,0,0,0
21,0,0,0,0
21,1,0,0,0
21,2,0,0,0
21,3,0,0,0
21,4,0,0,0
21,5,0,0,0
21,6,0,0,0
21,7,0,0,0
21,8,0,0,0
21,9,0,0,0
21,10,0,0,0
21,11,0,0,0
21,12,0,0,0
22,0,0,0,0
22,1,0,0,0
22,2,0,0,0
22,3,0,0,0
22,4,0,0,0
22,5,0,0,0
22,6,0,0,0
22,7,0,0,0
22,8,0,0,0
22,9,0,0,0
22,10,0,0,0
22,11,0,0,0
22,12,0,0,0
23,0,0,0,0
23,1,0,0,0
23,2,0,0,0
23,3,0,0,0
23,4,0,0,0
23,5,0,0,0
23,6,0,0,0
23,7,0,0,0
23,8,0,0,0
23,9,0,0,0
23,10,0,0,0
23,11,0,0,0
23,12,0,0,0
24,0,0,0,0
24,1,0,0,0
24,2,0,0,0
24,3,0,0,0
24,4,0,0,0
24,5,0,0,0
24,6,0,0,0
24,7,0,0,0
24,8,0,0,0
24,9,0,0,0
24,10,0,0,0
24,11,0,0,0
24,12,0,0,0
25,0,0,0,0
25,1,0,0,0
25,2,0,0,0
25,3,0,0,0
25,4,0,0,0
25,5,0,0,0
25,6,0,0,0
25,7,0,0,0
25,8,0,0,0
25,9,0,0,0
25,10,0,0,0
25,11,0,0,0
25,12,0,0,0
26,0,0,0,0
26,1,0,0,0
26,2,0,0,0
26,3,0,0,0
26,4,0,0,0
26,5,0,0,0
26,6,0,0,0
26,7,0,0,0
26,8,0,0,0
26,9,0,0,0
26,10,0,0,0
26,11,0,0,0
26,12,0,0,0
27,0,0,0,0
27,1,0,0,0
27,2,0,0,0
27,3,0,0,0
27,4,0,0,0
27,5,0,0,0
27,6,0,0,0
27,7,0,0,0
27,8,0,0,0
27,9,0,0,0
27,10,0,0,0
27,11,0,0,0
27,12,0,0,0
28,0,0,0,0
28,1,0,0,0
28,2,0,0,0
28,3,0,0,0
28,4,0,0,0
28,5,0,0,0
28,6,0,0,0
28,7,0,0,0
28,8,0,0,0
28,9,0,0,0
28,10,0,0,0
28,11,0,0,0
28,12,0,0,0
29,0,0,0,0
29,1,0,0,0
29,2,0,0,0
29,3,0,0,0
29,4,0,0,0
29,5,0,0,0
29,6,0,0,0
29,7,0,0,0
29,8,0,0,0
29,9,0,0,0
29,10,0,0,0
29,11,0,0,0
29,12,0,0,0
30,0,0,0,0
30,1,0,0,0
30,2,0,0,0
30,3,0,0,0
30,4,0,0,0
30,5,0,0,0
30,6,0,0,0
30,7,0,0,0
30,8,0,0,0
30,9,0,0,0
30,10,0,0,0
30,11,0,0,0
30,12,0,0,0
31,0,0,0,0
31,1,0,0,0
31,2,0,0,0
31,3,0,0,0
31,4,0,0,0
31,5,0,0,0
31,6,0,0,0
31,7,0,0,0
31,8,0,0,0
31,9,0,0,0
31,10,0,0,0
31,11,0,0,0
31,12,0,0,0
32,0,0,0,0
32,1,0,0,0
32,2,0,0,0
32,3,0,0,0
32,4,0,0,0
32,5,0,0,0
32,6,0,0,0
32,7,0,0,0
32,8,0,0,0
32,9,0,0,0
32,10,0,0,0
32,11,0,0,0
32,12,0,0,0
33,0,0,0,0
33,1,0,0,0
33,2,0,0,0
33,3,0,0,0
33,4,0,0,0
33,5,0,0,0
33,6,0,0,0
33,7,0,0,0
33,8,0,0,0
33,9,0,0,0
33,10,0,0,0
33,11,0,0,0
33,12,0,0,0
34,0,0,0,0
34,1,0,0,0
34,2,0,0,0
34,3,0,0,0
34,4,0,0,0
34,5,0,0,0
34,6,0,0,0
34,7,0,0,0
34,8,0,0,0
34,9,0,0,0
34,10,0,0,0
34,11,0,0,0
34,12,0,0,0
35,0,0,0,0
35,1,0,0,0
35,2,0,0,0
35,3,0,0,0
35,4,0,0,0
35,5,0,0,0
35,6,0,0,0
35,7,0,0,0
35,8,0,0,0
35,9,0,0,0
35,10,0,0,0
35,11,0,0,0
35,12,0,0,0
36,0,0,0,0
36,1,0,0,0
36,2,0,0,0
36,3,0,0,0
36,4,0,0,0
36,5,0,0,0
36,6,0,0,0
36,7,0,0,0
36,8,0,0,0
36,9,0,0,0
36,10,0,0,0
36,11,0,0,0
36,12,0,0,0
37,0,0,0,0
37,1,0,0,0
37,2,0,0,0
37,3,0,0,0
37,4,0,0,0
37,5,0,0,0
37,6,0,0,0
37,7,0,0,0
37,8,0,0,0
37,9,0,0,0
37,10,0,0,0
37,11,0,0,0
37,12,0,0,0
38,0,0,0,0
38,1,0,0,0
38,2,0,0,0
38,3,0,0,0
38,4,0,0,0
38,5,0,0,0
38,6,0,0,0
38,7,0,0,0
38,8,0,0,0
38,9,0,0,0
38,10,0,0,0
38,11,0,0,0
38,12,0,0,0
39,0,0,0,0
39,1,0,0,0
39,2,0,0,0
39,3,0,0,0
39,4,0,0,0
39,5,0,0,0
39,6,0,0,0
39,7,0,0,0
39,8,0,0,0
39,9,0,0,0
39,10,0,0,0
39,11,0,0,0
39,12,0,0,0
40,0,0,0,0
40,1,0,0,0
40,2,0,0,0
40,3,0,0,0
40,4,0,0,0
40,5,0,0,0
40,6,0,0,0
40,7,0,0,0
40,8,0,0,0
40,9,0,0,0
40,10,0,0,0
40,11,0,0,0
40,12,0,0,0
41,0,0,0,0
41,1,0,0,0
41,2,0,0,0
41,3,0,0,0
41,4,0,0,0
41,5,0,0,0
41,6,0,0,0
41,7,0,0,0
41,8,0,0,0
41,9,0,0,0
41,10,0,0,0
41,11,0,0,0
41,12,0,0,0
42,0,0,0,0
42,1,0,0,0
42,2,0,0,0
42,3,0,0,0
42,4,0,0,0
42,5,0,0,0
42,6,0,0,0
42,7,0,0,0
42,8,0,0,0
42,9,0,0,0
42,10,0,0,0
42,11,0,0,0
42,12,0,0,0
43,0,0,0,0
43,1,0,0,0
43,2,0,0,0
43,3,0,0,0
43,4,0,0,0
43,5,0,0,0
43,6,0,0,0
43,7,0,0,0
43,8,0,0,0
43,9,0,0,0
43,10,0,0,0
43,11,0,0,0
43,12,0,0,0
44,0,0,0,0
44,1,0,0,0
44,2,0,0,0
44,3,0,0,0
44,4,0,0,0
44,5,0,0,0
44,6,0,0,0
44,7,0,0,0
44,8,0,0,0
44,9,0,0,0
44,10,0,0,0
44,11,0,0,0
44,12,0,0,0
45,0,0,0,0
45,1,0,0,0
45,2,0,0,0
45,3,0,0,0
45,4,0,0,0
45,5,0,0,0
45,6,0,0,0
45,7,0,0,0
45,8,0,0,0
45,9,0,0,0
45,10,0,0,0
45,11,0,0,0
45,12,0,0,0
46,0,0,0,0
46,1,0,0,0
46,2,0,0,0
46,3,0,0,0
46,4,0,0,0
46,5,0,0,0
46,6,0,0,0
46,7,0,0,0
46,8,0,0,0
46,9,0,0,0
46,10,0,0,0
46,11,0,0,0
46,12,0,0,0
47,0,0,0,0
47,1,0,0,0
47,2,0,0,0
47,3,0,0,0
47,4,0,0,0
47,5,0,0,0
47,6,0,0,0
47,7,0,0,0
47,8,0,0,0
47,9,0,0,0
47,10,0,0,0
47,11,0,0,0
47,12,0,0,0
48,0,0,0,0
48,1,0,0,0
48,2,0,0,0
48,3,0,0,0
48,4,0,0,0
48,5,0,0,0
48,6,0,0,0
48,7,0,0,0
48,8,0,0,0
48,9,0,0,0
48,10,0,0,0
48,11,0,0,0
48,12,0,0,0
49,0,0,0,0
49,1,0,0,0
49,2,0,0,0
49,3,0,0,0
49,4,0,0,0
49,5,0,0,0
49,6,0,0,0
49,7,0,0,0
49,8,0,0,0
49,9,0,0,0
49,10,0,0,0
49,11,0,0,0
49,12,0,0,0
50,0,0,0,0
50,1,0,0,0
50,2,0,0,0
50,3,0,0,0
50,4,0,0,0
50,5,0,0,0
50,6,0,0,0
50,7,0,0,0
50,8,0,0,0
50,9,0,0,0
50,10,0,0,0
50,11,0,0,0
50,12,0,0,0
51,0,0,0,0
51,1,0,0,0
51,2,0,0,0
51,3,0,0,0
51,4,0,0,0
51,5,0,0,0
51,6,0,0,0
51,7,0,0,0
51,8,0,0,0
51,9,0,0,0
51,10,0,0,0
51,11,0,0,0
51,12,0,0,0
52,0,0,0,0
52,1,0,0,0
52,2,0,0,0
52,3,0,0,0
52,4,0,0,0
52,5,0,0,0
52,6,0,0,0
52,7,0,0,0
52,8,0,0,0
52,9,0,0,0
52,10,0,0,0
52,11,0,0,0
52,12,0,0,0
53,0,0,0,0
53,1,0,0,0
53,2,0,0,0
53,3,0,0,0
53,4,0,0,0
53,5,0,0,0
53,6,0,0,0
53,7,0,0,0
53,8,0,0,0
53,9,0,0,0
53,10,0,0,0
53,11,0,0,0
53,12,0,0,0
54,0,0,0,0
54,1,0,0,0
54,2,0,0,0
54,3,0,0,0
54,4,0,0,0
54,5,0,0,0
54,6,0,0,0
54,7,0,0,0
54,8,0,0,0
54,9,0,0,0
54,10,0,0,0
54,11,0,0,0
54,12,0,0,0
55,0,0,0,0
55,1,0,0,0
55,2,0,0,0
55,3,0,0,0
55,4,0,0,0
55,5,0,0,0
55,6,0,0,0
55,7,0,0,0
55,8,0,0,0
55,9,0,0,0
55,10,0,0,0
55,11,0,0,0
55,12,0,0,0
56,0,0,0,0
56,1,0,0,0
56,2,0,0,0
56,3,0,0,0
56,4,0,0,0
56,5,0,0,0
56,6,0,0,0
56,7,0,0,0
56,8,0,0,0
56,9,0,0,0
56,10,0,0,0
56,11,0,0,0
56,12,0,0,0
57,0,0,0,0
57,1,0,0,0
57,2,0,0,0
57,3,0,0,0
57,4,0,0,0
57,5,0,0,0
57,6,0,0,0
57,7,0,0,0
57,8,0,0,0
57,9,0,0,0
57,10,0,0,0
57,11,0,0,0
57,12,0,0,0
58,0,0,0,0
58,1,0,0,0
58,2,0,0,0
58,3,0,0,0
58,4,0,0,0
58,5,0,0,0
58,6,0,0,0
58,7,0,0,0
58,8,0,0,0
58,9,0,0,0
58,10,0,0,0
58,11,0,0,0
58,12,0,0,0
59,0,0,0,0
59,1,0,0,0
59,2,0,0,0
59,3,0,0,0
59,4,0,0,0
59,5,0,0,0
59,6,0,0,0
59,7,0,0,0
59,8,0,0,0
59,9,0,0,0
59,10,0,0,0
59,11,0,0,0
59,12,0,0,0
60,0,0,0,0
60,1,0,0,0
60,2,0,0,0
60,3,0,0,0
60,4,0,0,0
60,5,0,0,0
60,6,0,0,0
60,7,0,0,0
60,8,0,0,0
60,9,0,0,0
60,10,0,0,0
60,11,0,0,0
60,12,0,0,0
61,0,0,0,0
61,1,0,0,0
61,2,0,0,0
61,3,0,0,0
61,4,0,0,0
61,5,0,0,0
61,6,0,0,0
61,7,0,0,0
61,8,0,0,0
61,9,0,0,0
61,10,0,0,0
61,11,0,0,0
61,12,0,0,0
62,0,0,0,0
62,1,0,0,0
62,2,0,0,0
62,3,0,0,0
62,4,0,0,0
62,5,0,0,0
62,6,0,0,0
62,7,0,0,0
62,8,0,0,0
62,9,0,0,0
62,10,0,0,0
62,11,0,0,0
62,12,0,0,0
63,0,0,0,0
63,1,0,0,0
63,2,0,0,0
63,3,0,0,0
63,4,0,0,0
63,5,0,0,0
63,6,0,0,0
63,7,0,0,0
63,8,0,0,0
63,9,0,0,0
63,10,0,0,0
63,11,0,0,0
63,12,0,0,0
64,0,0,0,0
64,1,0,0,0
64,2,0,0,0
64,3,0,0,0
64,4,0,0,0
64,5,0,0,0
64,6,0,0,0
64,7,0,0,0
64,8,0,0,0
64,9,0,0,0
64,10,0,0,0
64,11,0,0,0
64,12,0,0,0
65,0,0,0,0
65,1,0,0,0
65,2,0,0,0
65,3,0,0,0
65,4,0,0,0
65,5,0,0,0
65,6,0,0,0
65,7,0,0,0
65,8,0,0,0
65,9,0,0,0
65,10,0,0,0
65,11,0,0,0
65,12,0,0,0
66,0,0,0,0
66,1,0,0,0
66,2,0,0,0
66,3,0,0,0
66,4,0,0,0
66,5,0,0,0
66,6,0,0,0
66,7,0,0,0
66,8,0,0,0
66,9,0,0,0
66,10,0,0,0
66,11,0,0,0
66,12,0,0,0
67,0,0,0,0
67,1,0,0,0
67,2,0,0,0
67,3,0,0,0
67,4,0,0,0
67,5,0,0,0
67,6,0,0,0
67,7,0,0,0
67,8,0,0,0
67,9,0,0,0
67,10,0,0,0
67,11,0,0,0
67,12,0,0,0
68,0,0,0,0
68,1,0,0,0
68,2,0,0,0
68,3,0,0,0
68,4,0,0,0
68,5,0,0,0
68,6,0,0,0
68,7,0,0,0
68,8,0,0,0
68,9,0,0,0
68,10,0,0,0
68,11,0,0,0
68,12,0,0,0
69,0,0,0,0
69,1,0,0,0
69,2,0,0,0
69,3,0,0,0
69,4,0,0,0
69,5,0,0,0
69,6,0,0,0
69,7,0,0,0
69,8,0,0,0
69,9,0,0,0
69,10,0,0,0
69,11,0,0,0
69,12,0,0,0
70,0,126,200,191
70,1,10,10,15
70,2,35,41,42
70,3,38,52,49
70,4,10,10,16
70,5,9,9,13
70,6,7,6,11
70,7,9,9,14
70,8,8,8,12
70,9,14,16,20
70,10,10,10,16
70,11,12,12,16
70,12,15,16,20
71,0,126,199,191
71,1,10,10,15
71,2,20,28,31
71,3,38,53,48
71,4,13,13,17
71,5,10,9,14
71,6,8,6,11
71,7,10,9,15
71,8,9,8,13
71,9,14,14,20
71,10,11,10,16
71,11,13,13,18
71,12,15,15,20
72,0,125,198,189
72,1,10,10,15
72,2,18,26,30
72,3,38,52,48
72,4,49,47,42
72,5,9,8,13
72,6,7,6,10
72,7,11,11,16
72,8,9,8,13
72,9,13,14,18
72,10,11,11,16
72,11,14,15,19
72,12,12,11,16
73,0,108,171,163
73,1,10,9,15
73,2,17,23,27
73,3,37,51,47
73,4,61,54,49
73,5,9,8,14
73,6,8,6,11
73,7,13,12,18
73,8,10,7,13
73,9,14,15,19
73,10,16,14,18
73,11,13,14,18
73,12,11,9,15
74,0,83,128,119
74,1,9,8,13
74,2,16,19,22
74,3,37,49,46
74,4,38,33,32
74,5,10,8,13
74,6,8,6,11
74,7,12,10,17
74,8,9,7,13
74,9,13,12,18
74,10,30,25,26
74,11,11,10,15
74,12,27,24,24
75,0,65,88,78
75,1,9,8,12
75,2,14,14,18
75,3,36,48,45
75,4,9,7,13
75,5,10,8,13
75,6,8,6,11
75,7,12,9,15
75,8,9,7,13
75,9,11,8,14
75,10,20,15,19
75,11,9,7,12
75,12,30,22,24
76,0,65,87,77
76,1,9,7,12
76,2,13,12,16
76,3,36,48,45
76,4,10,9,14
76,5,9,7,12
76,6,8,6,11
76,7,23,18,19
76,8,9,6,11
76,9,11,8,14
76,10,9,7,12
76,11,10,8,12
76,12,30,21,22
77,0,76,115,105
77,1,9,7,12
77,2,13,15,18
77,3,36,49,45
77,4,48,65,60
77,5,9,7,12
77,6,7,5,10
77,7,30,25,24
77,8,9,6,11
77,9,10,8,13
77,10,9,7,13
77,11,11,10,15
77,12,10,8,12
78,0,101,158,149
78,1,9,9,13
78,2,16,21,25
78,3,37,50,46
78,4,14,15,19
78,5,9,8,13
78,6,7,6,10
78,7,46,39,36
78,8,11,9,14
78,9,11,9,14
78,10,10,9,14
78,11,13,14,18
78,12,16,17,21
79,0,76,114,103
79,1,9,8,13
79,2,15,16,20
79,3,36,49,46
79,4,13,14,18
79,5,9,8,13
79,6,8,6,11
79,7,26,21,24
79,8,12,11,16
79,9,10,8,13
79,10,11,10,15
79,11,11,10,15
79,12,10,8,14
80,0,103,163,154
80,1,9,9,13
80,2,18,23,26
80,3,36,50,46
80,4,10,9,14
80,5,9,7,12
80,6,7,5,10
80,7,15,14,18
80,8,13,13,17
80,9,10,8,13
80,10,10,9,14
80,11,12,11,16
80,12,9,8,13
81,0,71,102,92
81,1,10,8,13
81,2,14,15,18
81,3,36,48,45
81,4,10,8,13
81,5,9,7,12
81,6,7,6,11
81,7,10,7,13
81,8,11,9,14
81,9,10,7,13
81,10,10,8,14
81,11,11,9,14
81,12,10,7,13
82,0,97,153,145
82,1,10,8,13
82,2,17,21,25
82,3,36,49,46
82,4,10,8,14
82,5,9,7,13
82,6,8,5,10
82,7,10,7,14
82,8,11,8,14
82,9,10,8,14
82,10,10,8,14
82,11,11,9,15
82,12,9,7,13
83,0,92,143,133
83,1,10,9,13
83,2,17,20,24
83,3,36,50,46
83,4,10,9,14
83,5,9,7,13
83,6,8,6,11
83,7,10,8,14
83,8,11,8,14
83,9,10,8,13
83,10,10,9,15
83,11,10,9,14
83,12,10,8,13
84,0,77,116,106
84,1,9,8,13
84,2,14,16,20
84,3,36,48,45
84,4,9,8,13
84,5,9,7,12
84,6,7,5,11
84,7,27,23,24
84,8,10,7,13
84,9,11,10,15
84,10,9,7,13
84,11,9,7,12
84,12,9,7,13
85,0,94,148,139
85,1,9,8,13
85,2,16,20,24
85,3,36,49,46
85,4,10,10,15
85,5,9,7,12
85,6,7,5,10
85,7,18,15,19
85,8,9,6,12
85,9,12,11,16
85,10,20,23,26
85,11,9,8,13
85,12,13,14,19
86,0,65,87,78
86,1,9,7,13
86,2,13,12,16
86,3,36,48,45
86,4,12,10,16
86,5,9,6,12
86,6,8,5,11
86,7,9,7,13
86,8,9,7,13
86,9,11,9,15
86,10,10,8,14
86,11,9,7,13
86,12,11,9,15
87,0,65,87,77
87,1,9,7,12
87,2,13,13,17
87,3,36,48,44
87,4,10,8,14
87,5,9,6,12
87,6,8,5,11
87,7,21,15,18
87,8,9,6,12
87,9,11,9,14
87,10,22,25,28
87,11,9,6,12
87,12,10,7,13
88,0,65,87,77
88,1,9,7,12
88,2,14,13,18
88,3,36,48,44
88,4,9,7,12
88,5,9,7,13
88,6,8,5,11
88,7,32,22,24
88,8,11,9,15
88,9,11,9,15
88,10,9,7,13
88,11,9,6,12
88,12,9,7,13
89,0,64,87,77
89,1,9,6,12
89,2,14,13,17
89,3,36,48,44
89,4,9,6,12
89,5,9,6,12
89,6,8,5,11
89,7,31,20,22
89,8,11,9,14
89,9,11,9,14
89,10,9,6,12
89,11,9,6,12
89,12,10,7,13
90,0,64,87,77
90,1,9,6,11
90,2,13,13,17
90,3,36,47,44
90,4,9,6,12
90,5,9,6,12
90,6,8,5,11
90,7,29,19,21
90,8,11,9,14
90,9,11,8,13
90,10,9,6,12
90,11,9,6,12
90,12,9,6,12
91,0,64,87,77
91,1,9,6,11
91,2,13,13,17
91,3,36,47,44
91,4,9,7,12
91,5,9,6,12
91,6,8,5,11
91,7,28,19,21
91,8,10,8,13
91,9,11,9,14
91,10,10,7,13
91,11,9,6,12
91,12,9,7,12
92,0,65,87,77
92,1,9,6,12
92,2,14,13,17
92,3,36,47,45
92,4,12,10,15
92,5,9,6,12
92,6,8,5,11
92,7,32,23,24
92,8,10,7,13
92,9,11,9,15
92,10,11,8,14
92,11,9,6,12
92,12,10,7,13
93,0,65,87,77
93,1,9,7,12
93,2,14,13,17
93,3,36,48,45
93,4,16,16,20
93,5,9,7,13
93,6,8,5,11
93,7,33,24,25
93,8,10,8,14
93,9,11,9,15
93,10,10,8,14
93,11,9,7,12
93,12,10,7,13
94,0,64,87,77
94,1,9,6,11
94,2,14,13,18
94,3,36,48,44
94,4,13,12,17
94,5,9,6,12
94,6,8,5,11
94,7,33,23,24
94,8,10,8,13
94,9,11,9,15
94,10,10,7,13
94,11,9,6,12
94,12,9,7,13
95,0,64,87,77
95,1,9,6,11
95,2,13,13,17
95,3,36,48,44
95,4,9,6,12
95,5,9,6,12
95,6,8,5,11
95,7,34,25,25
95,8,10,7,13
95,9,11,8,13
95,10,9,6,12
95,11,9,6,12
95,12,9,7,12
96,0,64,87,77
96,1,9,7,11
96,2,13,13,16
96,3,36,48,44
96,4,9,7,11
96,5,8,6,11
96,6,7,6,10
96,7,26,18,20
96,8,9,7,12
96,9,9,7,12
96,10,9,7,11
96,11,9,7,11
96,12,9,7,12
97,0,64,87,77
97,1,9,7,12
97,2,13,13,17
97,3,36,48,44
97,4,9,7,12
97,5,9,6,12
97,6,8,5,11
97,7,20,14,18
97,8,10,7,13
97,9,10,7,13
97,10,10,7,13
97,11,10,7,13
97,12,9,7,13
98,0,64,87,77
98,1,9,7,12
98,2,14,13,17
98,3,36,48,44
98,4,9,7,13
98,5,9,6,12
98,6,8,5,11
98,7,16,11,16
98,8,10,7,13
98,9,10,7,13
98,10,10,7,13
98,11,10,7,13
98,12,10,7,13
99,0,64,87,77
99,1,9,6,12
99,2,13,13,17
99,3,36,48,44
99,4,9,6,12
99,5,9,6,12
99,6,8,5,11
99,7,18,12,16
99,8,9,7,12
99,9,10,7,13
99,10,12,11,16
99,11,9,6,12
99,12,9,7,13
100,0,64,87,77
100,1,9,6,12
100,2,13,12,17
100,3,35,47,44
100,4,9,6,12
100,5,9,6,12
100,6,8,5,11
100,7,21,14,18
100,8,12,9,13
100,9,11,8,14
100,10,19,22,24
100,11,9,6,12
100,12,9,7,12
101,0,64,87,77
101,1,9,6,12
101,2,13,13,17
101,3,36,47,44
101,4,9,7,12
101,5,9,6,12
101,6,8,5,11
101,7,20,13,17
101,8,15,11,15
101,9,11,9,15
101,10,21,24,26
101,11,9,6,12
101,12,10,7,13
102,0,64,87,77
102,1,9,7,12
102,2,14,13,17
102,3,36,48,45
102,4,9,7,13
102,5,9,6,12
102,6,8,5,11
102,7,16,12,17
102,8,11,8,13
102,9,12,9,15
102,10,16,16,21
102,11,9,6,12
102,12,10,7,13
103,0,64,87,77
103,1,9,6,12
103,2,14,13,17
103,3,36,47,45
103,4,9,7,12
103,5,9,6,12
103,6,8,5,11
103,7,12,11,16
103,8,9,6,11
103,9,12,9,15
103,10,13,12,18
103,11,9,6,11
103,12,9,7,13
104,0,64,87,77
104,1,9,6,11
104,2,13,12,17
104,3,35,47,44
104,4,9,6,12
104,5,9,6,12
104,6,7,5,10
104,7,10,8,13
104,8,8,6,11
104,9,11,9,14
104,10,11,11,16
104,11,8,6,11
104,12,15,16,19
105,0,64,87,76
105,1,9,6,11
105,2,13,12,17
105,3,35,48,44
105,4,9,6,12
105,5,9,6,12
105,6,8,5,11
105,7,9,6,12
105,8,9,6,12
105,9,11,9,14
105,10,11,10,16
105,11,9,6,11
105,12,20,24,25
106,0,64,87,77
106,1,9,7,12
106,2,13,13,17
106,3,36,48,44
106,4,9,7,13
106,5,9,6,12
106,6,8,5,11
106,7,9,6,13
106,8,9,6,12
106,9,10,8,14
106,10,12,9,15
106,11,9,6,12
106,12,20,23,26
107,0,64,87,77
107,1,9,6,12
107,2,13,12,16
107,3,35,48,44
107,4,9,6,12
107,5,9,6,12
